answer_code,answer_code_map
Anyacty (D) Whether spent money on any gambling activity in last 12 months,Anyacty (D) Whether spent money on any gambling activity in last 12 months
dsm10a (D) Answer to DSM item 10 (scale),dsm10a (D) Answer to DSM item 10 (scale)
dsm1a (D) Answer to DSM item 1 (scale),dsm1a (D) Answer to DSM item 1 (scale)
dsm2a (D) Answer to DSM item 2 (scale),dsm2a (D) Answer to DSM item 2 (scale)
dsm3a (D) Answer to DSM item 3 (scale),dsm3a (D) Answer to DSM item 3 (scale)
dsm4a (D) Answer to DSM item 4 (scale),dsm4a (D) Answer to DSM item 4 (scale)
dsm5a (D) Answer to DSM item 5 (scale),dsm5a (D) Answer to DSM item 5 (scale)
dsm6a (D) Answer to DSM item 6 (scale),dsm6a (D) Answer to DSM item 6 (scale)
dsm7a (D) Answer to DSM item 7 (scale),dsm7a (D) Answer to DSM item 7 (scale)
dsm8a (D) Answer to DSM item 8 (scale),dsm8a (D) Answer to DSM item 8 (scale)
dsm9a (D) Answer to DSM item 9 (scale),dsm9a (D) Answer to DSM item 9 (scale)
dsmprob (D) Whether a DSM problem gambler,dsmprob (D) Whether a DSM problem gambler
"GALA Have you spent any money on: Tickets for the National Lottery Draw, including Thunderball and Euromillions and tickets bought online (SelfCDat.GALA)",GALA Spent money on: Tickets for the National Lottery
GALA Spent money on: Tickets for the National Lottery,GALA Spent money on: Tickets for the National Lottery
GALB Have you spent any money on: Scratchcards (but not online or newspaper or magazine scratchcards) (SelfCDat.GALB),GALB Spent money on: Scratchcards (not online or newspaper or magazine scratchcards)
GALB Spent money on: Scratchcards (not online or newspaper or magazine scratchcards),GALB Spent money on: Scratchcards (not online or newspaper or magazine scratchcards)
"GALC Have you spent any money on: Tickets for any other lottery, including charity lotteries (SelfCDat.GALC)","GALC Spent money on: Tickets for any other lottery, including charity lotteries"
"GALC Spent money on: Tickets for any other lottery, including charity lotteries","GALC Spent money on: Tickets for any other lottery, including charity lotteries"
